user,total_volume,Percentage,Point
0x6ec3d0956306130664557c8e230ade0983d34992,2459350.375,0.0007318320135,6762.127805,
0x684c350d9a0569a07454d778134f04406315a5b8,2445213.438,0.0007276252672,6723.257469,
0xbf4142533d0f056214c479dad6b65c1ef179f589,2393380.23,0.0007122011937,6580.73903,
0xa983723ed60b541ddf896711f271b5bf462c0c23,2251343.744,0.0006699352162,6190.201398,
0xb2e74c8a1cd6f7d5791c0cd1d64982631af5f33e,2226776.362,0.0006626246692,6122.651943,
0x181862988237fc8ea3fe8134f72c329ba4442263,2202410.448,0.0006553740732,6055.656437,
0x6d0ca33f1142968785c9be73a865bb1aa5155b2a,2146521.676,0.0006387431804,5901.986987,
0xcf53cab789e7971f331b8ee1a045ac920109ba78,2084823.74,0.0006203836472,5732.3449,
0xa452636865f2f7cb413e8f1ade14d14e8ed7783a,2062671.291,0.0006137917149,5671.435445,
0xe4e3486dfce91ba87060228d44f8db7c59a86139,2061646.564,0.0006134867855,5668.617898,
0xf2870dde3e94663ce8c7aaf242ca20ce07c5d02b,2027635.878,0.0006033661825,5575.103527,
0xa60aadf62907bf06dd714781d44bbd4c2d783259,2003580.496,0.000596207992,5508.961846,
0x5ba3b8621dfb7b85425b41a350a688b940fa5ed3,1954062.219,0.0005814727754,5372.808445,
0xf517639a8872e756ac98d3c65507d2ebc25cc032,1953637.118,0.0005813462776,5371.639605,
0x7dedda2706e6565a517be3c76b0918f9e01fa412,1859320.281,0.0005532802966,5112.309941,
0xa6cd97fb84c669b636b86e0c2cf5e3428363a6f6,1839017.128,0.0005472386616,5056.485233,
0x95c2ec97903c993efbe4630f1535282a12fead98,1753282.884,0.0005217266138,4820.753911,
0xadd7a1ed12c52af46ed43575328ea21439b3054d,1744670.465,0.0005191638053,4797.073561,
0x26602bf417c4e57ba3d2268d7f93a1e16f29e069,1709164.901,0.0005085983696,4699.448935,
0x1ffd5fe1714003e4efa67aac9d272a1eb904d0ff,1707263.662,0.0005080326155,4694.221367,
0x5a688a5d721d6322d0a59366587b8401be379929,1699466.902,0.0005057125237,4672.783719,
0x9e13e43b1648b890d3d958fda96ecbe8708207fd,1678093.995,0.0004993525606,4614.01766,
0x3a00b3c58e45f2d5ce8e6929f6d12d792b0c3323,1650813.653,0.0004912347146,4539.008763,
0x26de224cbe06fd4321ce5747a176cbbd24773beb,1650321.579,0.0004910882875,4537.655777,
0x7e6949e70627f746f87577bbbb3bb03f89c23b4f,1625901.76,0.000483821651,4470.512055,
0x7aa2194239874ad03b47c334cebad814f51e59a8,1616198.867,0.0004809343488,4443.833383,
0x2a94086c36f9b26f21d9b7ab4419f6dc31c677c1,1611369.697,0.0004794973266,4430.555297,
0x1d69d3cdebb5c3e2b8b73cc4d49aa145ecb7950f,1610950.71,0.0004793726481,4429.403268,
0x35e9c836de40afeb4f3043ec2a27b226639bb58d,1536875.834,0.0004573300932,4225.730061,
0x3eb8db1d8d716dff0e232e17478eb6cc8a8ad53f,1533119.305,0.0004562122581,4215.401264,
0x1dabda9a2071353fdf113208b4910b206dd008f7,1513756.548,0.0004504504579,4162.162231,
0x63ec1a17fa841f589f8d1c27f86ad79a55bf659c,1510634.047,0.0004495212913,4153.576731,
0x444ff3c5c555b6b774b753f77f2e44f10c195719,1501104.47,0.000446685563,4127.374602,
0x64fd2937bd8381911788f8354150b4f652bd42ca,1463468.501,0.0004354861799,4023.892302,
0x9f6fed26339789725b0751f57aeac23367ceee57,1412144.373,0.000420213594,3882.773608,
0x0eb4d9088b4873df8d66b2706b2232fde75b476a,1387435.87,0.0004128610533,3814.836133,
0x6d4854423b82e1509978df9573508904b38c8998,1367782.521,0.0004070127813,3760.798099,
0x2522d717ba90f0383d302b75ce20be472d2a9677,1323835.928,0.0003939355379,3639.96437,
0xfd0be733da76db4df8c5b1850767b248826804fe,1314342.242,0.0003911104897,3613.860924,
0xdfeddc98ae6edcb5f63178a8589f41b6477f6c42,1261632.833,0.0003754256839,3468.933319,
0xb3aca3a3c4d10eed121489d37702865be750b743,1254773.851,0.0003733846479,3450.074147,
0x2439cc292333e197a181d3bfae669bb605d8a21a,1241770.142,0.0003695151177,3414.319688,
